CalibBP,F14C,sigma
-59.62,1.057,0.0039
-59.53,1.058,0.0065
-59.45,1.0466,0.0038
-59.37,1.0487,0.0037
-58.62,1.0589,0.0036
-58.53,1.0593,0.0036
-58.45,1.0529,0.0036
-58.37,1.0496,0.005
-57.95,1.0538,0.0056
-57.87,1.057,0.0016
-57.79,1.0586,0.0019
-57.7,1.0593,0.002
-57.62,1.0597,0.0013
-57.53,1.0616,0.0017
-57.45,1.0571,0.0046
-57.37,1.0587,0.0019
-57.28,1.0581,0.0022
-57.2,1.0591,0.0042
-57.12,1.0622,0.004
-57.04,1.0579,0.0021
-56.95,1.061,0.0014
-56.87,1.0651,0.0023
-56.79,1.0649,0.0016
-56.7,1.0648,0.0019
-56.62,1.064,0.0028
-56.53,1.0638,0.0009
-56.45,1.0652,0.003
-56.37,1.0635,0.0039
-56.28,1.0623,0.0051
-56.2,1.061,0.0029
-56.12,1.0629,0.0044
-56.04,1.063,0.0014
-55.95,1.0639,0.0038
-55.87,1.0656,0.0024
-55.79,1.0675,0.0019
-55.7,1.0681,0.0028
-55.62,1.0675,0.0019
-55.53,1.0672,0.0026
-55.45,1.0619,0.0027
-55.37,1.0648,0.0036
-55.28,1.0642,0.0035
-55.2,1.0671,0.0021
-55.12,1.0692,0.0013
-55.04,1.0686,0.0027
-54.95,1.0709,0.0026
-54.87,1.0706,0.0033
-54.79,1.0709,0.002
-54.7,1.073,0.0017
-54.62,1.074,0.0014
-54.53,1.0715,0.0029
-54.45,1.0717,0.0013
-54.37,1.0714,0.0026
-54.28,1.0726,0.0026
-54.2,1.0734,0.0042
-54.12,1.073,0.0028
-54.04,1.0742,0.0048
-53.95,1.0742,0.0017
-53.87,1.0737,0.0018
-53.79,1.0774,0.0026
-53.7,1.0775,0.0023
-53.62,1.0754,0.0029
-53.53,1.0781,0.0036
-53.45,1.0769,0.0015
-53.37,1.0751,0.0051
-53.28,1.0748,0.0021
-53.2,1.0751,0.0038
-53.12,1.0739,0.0042
-53.04,1.0779,0.0046
-52.95,1.0773,0.0029
-52.87,1.0806,0.004
-52.79,1.0808,0.003
-52.7,1.0826,0.0031
-52.62,1.0819,0.0032
-52.53,1.0835,0.0015
-52.45,1.0822,0.0025
-52.37,1.0794,0.0032
-52.28,1.0803,0.0044
-52.2,1.0809,0.0036
-52.12,1.0828,0.0024
-52.04,1.0836,0.0031
-51.95,1.0848,0.0025
-51.87,1.0878,0.002
-51.79,1.088,0.0038
-51.7,1.0891,0.0014
-51.62,1.0888,0.0024
-51.53,1.09,0.0019
-51.45,1.0857,0.0024
-51.37,1.0844,0.0041
-51.28,1.0825,0.0017
-51.2,1.0855,0.0023
-51.12,1.0856,0.0035
-51.04,1.0899,0.0026
-50.95,1.0918,0.0016
-50.87,1.0918,0.0016
-50.79,1.0928,0.0009
-50.7,1.093,0.002
-50.62,1.0941,0.0042
-50.53,1.0941,0.0028
-50.45,1.0928,0.0038
-50.37,1.0926,0.0023
-50.28,1.0913,0.0011
-50.2,1.093,0.0022
-50.12,1.095,0.0023
-50.04,1.0972,0.0036
-49.95,1.0968,0.0025
-49.87,1.0999,0.0038
-49.79,1.103,0.0026
-49.7,1.1012,0.002
-49.62,1.099,0.0024
-49.53,1.1016,0.0029
-49.45,1.099,0.0026
-49.37,1.0973,0.0047
-49.28,1.0984,0.0037
-49.2,1.0989,0.005
-49.12,1.1023,0.0049
-49.04,1.0987,0.0031
-48.95,1.1042,0.002
-48.87,1.1011,0.0029
-48.79,1.1031,0.0016
-48.7,1.1047,0.0038
-48.62,1.1063,0.0023
-48.53,1.1036,0.0042
-48.45,1.1045,0.0019
-48.37,1.1013,0.0037
-48.28,1.1013,0.0018
-48.2,1.1021,0.0017
-48.12,1.1045,0.0009
-48.04,1.1069,0.0014
-47.95,1.1062,0.0027
-47.87,1.1037,0.0015
-47.79,1.107,0.0027
-47.7,1.1073,0.002
-47.62,1.1084,0.0016
-47.53,1.1065,0.0019
-47.45,1.1074,0.002
-47.37,1.1089,0.0014
-47.28,1.1044,0.0043
-47.2,1.1116,0.0018
-47.12,1.1081,0.0029
-47.04,1.1073,0.0012
-46.95,1.1097,0.0014
-46.87,1.1124,0.0015
-46.79,1.1121,0.0023
-46.7,1.1116,0.0013
-46.62,1.1115,0.0034
-46.53,1.1139,0.0019
-46.45,1.113,0.0035
-46.37,1.1115,0.0039
-46.28,1.1094,0.0017
-46.2,1.1118,0.0058
-46.12,1.1106,0.0056
-46.04,1.114,0.003
-45.95,1.1168,0.0049
-45.87,1.1171,0.0033
-45.79,1.1191,0.0055
-45.7,1.1199,0.008
-45.62,1.1184,0.0054
-45.53,1.1208,0.0018
-45.45,1.1186,0.001
-45.37,1.1207,0.0013
-45.28,1.1176,0.0041
-45.2,1.1207,0.0019
-45.12,1.1211,0.0013
-45.04,1.1238,0.003
-44.95,1.1222,0.0048
-44.87,1.1259,0.002
-44.79,1.1239,0.0047
-44.7,1.1271,0.002
-44.62,1.1243,0.0016
-44.53,1.1273,0.0042
-44.45,1.1262,0.0052
-44.37,1.1248,0.0038
-44.28,1.1215,0.0036
-44.2,1.1263,0.0013
-44.12,1.1215,0.0017
-44.04,1.1265,0.0049
-43.95,1.1271,0.0049
-43.87,1.127,0.0079
-43.79,1.1309,0.0019
-43.7,1.132,0.0015
-43.62,1.1307,0.0013
-43.53,1.1317,0.0054
-43.45,1.1331,0.0012
-43.37,1.1347,0.0031
-43.28,1.1309,0.0013
-43.2,1.1314,0.0051
-43.12,1.1343,0.004
-43.04,1.1364,0.0035
-42.95,1.1364,0.0035
-42.87,1.1403,0.0021
-42.79,1.1397,0.0025
-42.7,1.1419,0.0023
-42.62,1.1423,0.0033
-42.53,1.1406,0.0017
-42.45,1.1418,0.0027
-42.37,1.1405,0.0051
-42.28,1.1402,0.0048
-42.2,1.1393,0.008
-42.12,1.1361,0.0056
-42.04,1.1415,0.0039
-41.95,1.1456,0.0051
-41.87,1.144,0.0029
-41.79,1.1426,0.0039
-41.7,1.1511,0.0052
-41.62,1.1493,0.005
-41.53,1.1471,0.0033
-41.45,1.1484,0.0044
-41.37,1.1447,0.0036
-41.28,1.1448,0.0036
-41.2,1.1433,0.0053
-41.12,1.1457,0.0037
-41.04,1.1469,0.002
-40.95,1.1471,0.0058
-40.87,1.1521,0.0089
-40.79,1.1586,0.004
-40.7,1.1582,0.004
-40.62,1.1548,0.005
-40.53,1.1582,0.0052
-40.45,1.1587,0.0035
-40.37,1.153,0.0036
-40.28,1.1537,0.0024
-40.2,1.1575,0.0025
-40.12,1.1606,0.0034
-40.04,1.1622,0.0036
-39.95,1.1606,0.0063
-39.87,1.1636,0.005
-39.79,1.1672,0.0049
-39.7,1.1678,0.0017
-39.62,1.1695,0.0042
-39.53,1.1659,0.0079
-39.45,1.1689,0.0021
-39.37,1.1688,0.0041
-39.28,1.1647,0.0034
-39.2,1.1683,0.0018
-39.12,1.1722,0.0037
-39.04,1.1748,0.0015
-38.95,1.1711,0.0042
-38.87,1.1667,0.005
-38.79,1.177,0.0038
-38.7,1.1755,0.0047
-38.62,1.1806,0.0058
-38.53,1.179,0.0057
-38.45,1.1779,0.0025
-38.37,1.1745,0.0045
-38.28,1.1731,0.0027
-38.2,1.1789,0.002
-38.12,1.1757,0.0023
-38.04,1.1828,0.0017
-37.95,1.1798,0.0094
-37.87,1.1822,0.0046
-37.79,1.1844,0.0027
-37.7,1.191,0.0027
-37.62,1.1917,0.0032
-37.53,1.1916,0.0037
-37.45,1.1889,0.0047
-37.37,1.1888,0.0056
-37.28,1.1845,0.0087
-37.2,1.18,0.0075
-37.12,1.1875,0.011
-37.04,1.188,0.0036
-36.95,1.1864,0.0036
-36.87,1.1919,0.0034
-36.79,1.1954,0.0041
-36.7,1.1965,0.0064
-36.62,1.1972,0.0026
-36.53,1.1952,0.0035
-36.45,1.1931,0.0058
-36.37,1.1941,0.0063
-36.28,1.1907,0.0128
-36.2,1.198,0.0058
-36.12,1.1998,0.0107
-36.04,1.2011,0.006
-35.95,1.1983,0.0084
-35.87,1.1913,0.0142
-35.79,1.199,0.0061
-35.7,1.2116,0.0064
-35.62,1.2127,0.0028
-35.53,1.2131,0.0058
-35.45,1.2103,0.0029
-35.37,1.2071,0.0048
-35.28,1.2057,0.005
-35.2,1.208,0.01
-35.12,1.2022,0.0089
-35.04,1.2047,0.0105
-34.95,1.2215,0.0214
-34.87,1.2133,0.0061
-34.79,1.2175,0.0016
-34.7,1.219,0.0048
-34.62,1.2171,0.0062
-34.53,1.2167,0.0066
-34.45,1.2194,0.0013
-34.37,1.215,0.0064
-34.28,1.2138,0.004
-34.2,1.2116,0.0071
-34.12,1.2171,0.0131
-34.04,1.2265,0.0123
-33.95,1.221,0.0092
-33.87,1.2215,0.006
-33.79,1.2309,0.0055
-33.7,1.2346,0.0043
-33.62,1.2368,0.0053
-33.53,1.236,0.006
-33.45,1.2378,0.0061
-33.37,1.2291,0.0072
-33.28,1.2315,0.0052
-33.2,1.2367,0.003
-33.12,1.2296,0.003
-33.04,1.2313,0.0097
-32.95,1.2365,0.005
-32.87,1.2371,0.0079
-32.79,1.2432,0.0063
-32.7,1.2433,0.0026
-32.62,1.2455,0.0047
-32.53,1.2411,0.0092
-32.45,1.2441,0.0065
-32.37,1.2475,0.0065
-32.28,1.2432,0.008
-32.2,1.2432,0.0061
-32.12,1.2473,0.0026
-32.04,1.2514,0.0018
-31.95,1.2596,0.0128
-31.87,1.2488,0.004
-31.79,1.2689,0.004
-31.7,1.2589,0.0067
-31.62,1.2598,0.0082
-31.53,1.2638,0.0107
-31.45,1.2677,0.0074
-31.37,1.2579,0.0077
-31.28,1.2528,0.0049
-31.2,1.2532,0.0052
-31.12,1.2663,0.0082
-31.04,1.2554,0.0081
-30.95,1.2579,0.0076
-30.87,1.2624,0.0055
-30.79,1.2697,0.0103
-30.7,1.2736,0.0125
-30.62,1.2728,0.0046
-30.53,1.2811,0.0051
-30.45,1.2747,0.0067
-30.37,1.2685,0.0092
-30.28,1.2694,0.0098
-30.2,1.2625,0.0124
-30.12,1.271,0.0097
-30.04,1.2751,0.0056
-29.95,1.2761,0.0103
-29.87,1.2905,0.0082
-29.79,1.2927,0.0073
-29.7,1.2939,0.0097
-29.62,1.3038,0.0044
-29.53,1.2916,0.0106
-29.45,1.2945,0.0087
-29.37,1.2975,0.0117
-29.28,1.2992,0.0089
-29.2,1.2994,0.0074
-29.12,1.3036,0.006
-29.04,1.309,0.0026
-28.95,1.3185,0.0048
-28.87,1.3213,0.0093
-28.79,1.3186,0.0128
-28.7,1.3212,0.014
-28.62,1.3273,0.0179
-28.53,1.3307,0.0102
-28.45,1.3371,0.0048
-28.37,1.3267,0.0048
-28.28,1.3271,0.0029
-28.2,1.3254,0.005
-28.12,1.3261,0.0059
-28.04,1.3199,0.0081
-27.95,1.3165,0.0025
-27.87,1.3278,0.0076
-27.79,1.333,0.0072
-27.7,1.3371,0.0092
-27.62,1.3379,0.0043
-27.53,1.3443,0.0111
-27.45,1.3391,0.0088
-27.37,1.3361,0.008
-27.28,1.3349,0.0044
-27.2,1.3385,0.0061
-27.12,1.3336,0.0101
-27.04,1.3363,0.0088
-26.95,1.3339,0.0154
-26.87,1.3509,0.0043
-26.79,1.3392,0.01
-26.7,1.3533,0.0053
-26.62,1.3507,0.0085
-26.53,1.3615,0.0051
-26.45,1.3558,0.0127
-26.37,1.3484,0.0026
-26.28,1.346,0.0073
-26.2,1.3444,0.0233
-26.12,1.3631,0.0063
-26.04,1.3638,0.0065
-25.95,1.377,0.0048
-25.87,1.3734,0.0046
-25.79,1.3963,0.014
-25.7,1.3973,0.011
-25.62,1.3863,0.015
-25.53,1.4073,0.012
-25.45,1.3981,0.008
-25.37,1.3816,0.0189
-25.28,1.381,0.0151
-25.2,1.3684,0.0165
-25.12,1.3804,0.0205
-25.04,1.3788,0.0216
-24.95,1.377,0.0208
-24.87,1.4005,0.0263
-24.79,1.4127,0.0148
-24.7,1.4051,0.0191
-24.62,1.4304,0.009
-24.53,1.4193,0.009
-24.45,1.4259,0.007
-24.37,1.4227,0.007
-24.28,1.4198,0.009
-24.2,1.4223,0.009
-24.12,1.4142,0.014
-24.04,1.4262,0.011
-23.95,1.4038,0.0047
-23.87,1.4428,0.0056
-23.79,1.4422,0.0034
-23.7,1.451,0.0239
-23.62,1.4552,0.0276
-23.53,1.4339,0.0211
-23.45,1.4516,0.0081
-23.37,1.426,0.0259
-23.28,1.438,0.0133
-23.2,1.4381,0.0145
-23.12,1.4438,0.007
-23.04,1.439,0.0163
-22.95,1.4694,0.012
-22.87,1.4794,0.009
-22.79,1.4639,0.0039
-22.7,1.4753,0.012
-22.62,1.4611,0.0115
-22.53,1.4796,0.0065
-22.45,1.4841,0.0038
-22.37,1.4794,0.006
-22.28,1.4843,0.0199
-22.2,1.4846,0.0056
-22.12,1.4765,0.0048
-22.04,1.509,0.0113
-21.95,1.4979,0.0138
-21.87,1.4813,0.0108
-21.79,1.5182,0.0239
-21.7,1.5007,0.0213
-21.62,1.5294,0.0108
-21.53,1.5099,0.034
-21.45,1.5328,0.0303
-21.37,1.5338,0.0237
-21.28,1.5105,0.0078
-21.2,1.479,0.006
-21.12,1.4924,0.006
-21.04,1.5046,0.0168
-20.95,1.5211,0.0081
-20.87,1.5168,0.0064
-20.79,1.5393,0.0223
-20.7,1.542,0.0174
-20.62,1.5538,0.0384
-20.53,1.5433,0.0059
-20.45,1.5486,0.0102
-20.37,1.5341,0.0208
-20.28,1.5314,0.0055
-20.2,1.5252,0.0055
-20.12,1.5501,0.0112
-20.04,1.5498,0.0062
-19.95,1.5389,0.008
-19.87,1.5559,0.0065
-19.79,1.5696,0.0252
-19.7,1.5431,0.0126
-19.62,1.5541,0.0322
-19.53,1.559,0.0173
-19.45,1.5617,0.0052
-19.37,1.5614,0.0052
-19.28,1.5571,0.035
-19.2,1.5436,0.007
-19.12,1.5436,0.0196
-19.04,1.5767,0.0293
-18.95,1.5588,0.0104
-18.87,1.5513,0.0123
-18.79,1.5627,0.0233
-18.7,1.5765,0.0238
-18.62,1.5872,0.0456
-18.53,1.5934,0.0178
-18.45,1.5786,0.0052
-18.37,1.5824,0.0265
-18.28,1.587,0.0159
-18.2,1.577,0.0065
-18.12,1.5799,0.0074
-18.04,1.5961,0.0072
-17.95,1.5941,0.0076
-17.87,1.6109,0.0057
-17.79,1.6283,0.0132
-17.7,1.6228,0.0263
-17.62,1.6393,0.0169
-17.53,1.6501,0.0217
-17.45,1.6562,0.013
-17.37,1.6496,0.0048
-17.28,1.6455,0.0119
-17.2,1.6454,0.0126
-17.12,1.6533,0.0224
-17.04,1.6492,0.0199
-16.95,1.6627,0.004
-16.87,1.6504,0.0239
-16.79,1.6743,0.0234
-16.7,1.7089,0.0157
-16.62,1.7145,0.0067
-16.53,1.7207,0.008
-16.45,1.7209,0.0086
-16.37,1.7016,0.0149
-16.28,1.6936,0.0197
-16.2,1.6919,0.0091
-16.12,1.693,0.0062
-16.04,1.7007,0.005
-15.95,1.7062,0.0074
-15.87,1.7283,0.0074
-15.79,1.7492,0.0261
-15.7,1.7609,0.0082
-15.62,1.7868,0.0314
-15.53,1.8026,0.0174
-15.45,1.7983,0.0184
-15.37,1.7628,0.0136
-15.28,1.7629,0.0084
-15.2,1.7558,0.0118
-15.12,1.7457,0.0055
-15.04,1.7789,0.0137
-14.95,1.7778,0.0175
-14.87,1.7908,0.0239
-14.79,1.8391,0.0058
-14.7,1.8643,0.0342
-14.62,1.9007,0.0214
-14.53,1.9155,0.0495
-14.45,1.9197,0.0045
-14.37,1.895,0.0154
-14.28,1.838,0.0083
-14.2,1.8019,0.0237
-14.12,1.8008,0.0264
-14.04,1.8071,0.0189
-13.95,1.8163,0.0509
-13.87,1.8243,0.0438
-13.79,1.8543,0.0539
-13.7,1.9775,0.0413
-13.62,1.9836,0.0215
-13.53,1.8835,0.0127
-13.45,1.7649,0.0405
-13.37,1.6501,0.0038
-13.28,1.5605,0.0136
-13.2,1.4883,0.0097
-13.12,1.4633,0.017
-13.04,1.4179,0.0078
-12.95,1.4247,0.01
-12.87,1.4102,0.006
-12.79,1.3841,0.006
-12.7,1.3951,0.008
-12.62,1.4182,0.006
-12.53,1.3951,0.006
-12.37,1.368,0.006
-12.2,1.3059,0.006
-12.12,1.2879,0.005
-12.04,1.2638,0.007
-11.95,1.2398,0.006
-11.79,1.2187,0.006
-11.7,1.2067,0.007
-11.62,1.2417,0.006
-11.53,1.2287,0.007
-11.45,1.2487,0.008
-11.37,1.2167,0.008
-11.28,1.2137,0.007
-11.2,1.2217,0.008
-11.12,1.2066,0.009
-11.04,1.2036,0.007
-10.95,1.2106,0.007
-10.87,1.2066,0.007
-10.79,1.2106,0.007
-10.7,1.2166,0.008
-10.62,1.2226,0.007
-10.53,1.2326,0.006
-10.45,1.2356,0.005
-10.37,1.2205,0.006
-10.28,1.2035,0.007
-10.2,1.2059,0.0053
-10.12,1.2055,0.005
-10.04,1.1995,0.007
-9.95,1.2175,0.007
-9.87,1.2285,0.004
-9.79,1.2365,0.0064
-9.7,1.2515,0.006
-9.62,1.2715,0.01
-9.53,1.2494,0.007
-9.45,1.2775,0.007
-9.37,1.2334,0.009
-9.28,1.2294,0.007
-9.2,1.1973,0.005
-9.12,1.1818,0.0075
-8.5,1.1694,0.0093
-7.5,1.0993,0.037
-6.5,1.0252,0.0076
-5.5,1.0178,0.0053
-4.5,0.9777,0.0026
-3.5,0.9763,0.0018
-2.5,0.9745,0.0016
-1.5,0.9747,0.0017
-0.5,0.9743,0.0017
0,0.975532,0.00097104
5,0.976868,0.000972371
10,0.978816,0.00097431
15,0.981012,0.000976495
20,0.981256,0.000854699
25,0.983702,0.000734471
30,0.984069,0.00085715
35,0.987137,0.000859822
40,0.987751,0.000860357
45,0.989721,0.000862072
50,0.9912,0.000863361
55,0.990337,0.000862609
60,0.987874,0.000860464
65,0.987383,0.000860036
70,0.987137,0.000859822
75,0.985295,0.000858218
80,0.985909,0.000736119
85,0.984805,0.000735295
90,0.985295,0.000735661
95,0.984927,0.000980393
100,0.985909,0.00110397
105,0.985909,0.00098137
110,0.984927,0.000980393
115,0.986032,0.000981492
120,0.988243,0.000860786
125,0.98726,0.000859929
130,0.987383,0.000737219
135,0.986277,0.000981736
140,0.983702,0.000979173
145,0.981012,0.000976495
150,0.97906,0.000852786
155,0.973954,0.00096947
160,0.973106,0.000968626
165,0.97359,0.000969108
170,0.977233,0.000851195
175,0.979303,0.000852999
180,0.978329,0.000973825
185,0.978816,0.00097431
190,0.98089,0.00085438
195,0.980157,0.000853742
200,0.979913,0.00085353
205,0.979913,0.00085353
210,0.979425,0.000853105
215,0.981256,0.000976738
220,0.98309,0.000978564
225,0.986032,0.000736211
230,0.987014,0.000736944
235,0.98849,0.000861
240,0.987997,0.000737678
245,0.987014,0.000736944
250,0.98726,0.000737128
255,0.985418,0.000613165
260,0.98358,0.00073438
265,0.982601,0.000855871
270,0.979425,0.000974916
275,0.978329,0.00085215
280,0.97772,0.000973219
285,0.97359,0.000848022
290,0.971411,0.000846124
295,0.970686,0.000845493
300,0.969116,0.000844125
305,0.966586,0.000841922
310,0.963463,0.000839201
315,0.962624,0.00083847
320,0.959991,0.000955571
325,0.959513,0.000835761
330,0.959274,0.000835553
335,0.956889,0.000833475
340,0.956174,0.000951772
345,0.955104,0.00083192
350,0.957723,0.000834201
355,0.9582,0.000953789
360,0.959513,0.000955096
365,0.959513,0.000955096
370,0.959155,0.000954739
375,0.959513,0.000955096
380,0.960349,0.000955928
385,0.960469,0.000956047
390,0.959991,0.000955571
395,0.961426,0.000957
400,0.962144,0.000838053
405,0.962025,0.000957596
410,0.962504,0.000838366
415,0.962863,0.000838679
420,0.962624,0.000958192
425,0.960947,0.00083701
430,0.958916,0.000954501
435,0.957961,0.000953551
440,0.957008,0.000952602
445,0.957365,0.00119105
450,0.957484,0.00131024
455,0.957127,0.00130975
460,0.956293,0.00142748
465,0.955222,0.00130714
470,0.954747,0.00142517
475,0.95439,0.00142464
480,0.953678,0.00142358
485,0.952729,0.00130373
490,0.952254,0.00130308
495,0.951543,0.00130211
500,0.949532,0.00141739
505,0.946935,0.00141351
510,0.944462,0.00140982
515,0.942466,0.00128968
520,0.940825,0.00140439
525,0.93942,0.00128552
530,0.938135,0.00140038
535,0.936618,0.00128168
540,0.934638,0.00139516
545,0.932662,0.00127627
550,0.93127,0.00139013
555,0.92988,0.00138805
560,0.927452,0.00138443
565,0.9248,0.00126551
570,0.922845,0.00137755
575,0.922041,0.00126173
580,0.92273,0.00137738
585,0.924225,0.00126472
590,0.925606,0.00138167
595,0.926759,0.00126819
600,0.927914,0.00138512
605,0.92907,0.00127135
610,0.930227,0.00138857
615,0.930922,0.00127389
620,0.930459,0.00127325
625,0.929301,0.00127167
630,0.928029,0.00138529
635,0.926644,0.00126803
640,0.925606,0.00126661
645,0.92457,0.00115025
650,0.92319,0.00137807
655,0.921353,0.00137532
660,0.91952,0.00137259
665,0.917576,0.00136969
670,0.915066,0.00136594
675,0.912564,0.0013622
680,0.910748,0.00135949
685,0.909275,0.00124426
690,0.907353,0.00124163
695,0.905773,0.00123947
700,0.905097,0.00135106
705,0.904871,0.00123824
710,0.904308,0.00112504
715,0.904421,0.00112518
720,0.904984,0.00123839
725,0.904759,0.0011256
730,0.902846,0.00112322
735,0.900713,0.00112057
740,0.899704,0.00123117
745,0.898809,0.00122994
750,0.898585,0.00134134
755,0.899033,0.00111848
760,0.898697,0.00111806
765,0.898026,0.00111723
770,0.897691,0.00134
775,0.897802,0.00111695
780,0.897914,0.00111709
785,0.896909,0.00100431
790,0.895013,0.00122475
795,0.893121,0.00111112
800,0.8909,0.00121912
805,0.889238,0.00110629
810,0.889902,0.00121775
815,0.891343,0.00110891
820,0.891565,0.00122003
825,0.891122,0.00121942
830,0.889791,0.00132821
835,0.888463,0.00110533
840,0.888463,0.00110533
845,0.889127,0.00110615
850,0.889459,0.00121715
855,0.889681,0.00121745
860,0.890124,0.00121806
865,0.890789,0.00110822
870,0.891787,0.00122033
875,0.892676,0.00111057
880,0.892676,0.00122155
885,0.892676,0.00111057
890,0.892787,0.0012217
895,0.892454,0.00111029
900,0.891232,0.00121958
905,0.889681,0.00121745
910,0.888574,0.00121594
915,0.887579,0.00121458
920,0.886143,0.00132277
925,0.88438,0.0012102
930,0.881522,0.00131587
935,0.878783,0.00120254
940,0.878018,0.00131064
945,0.878236,0.00120179
950,0.878455,0.00131129
955,0.878018,0.00120149
960,0.876598,0.00130852
965,0.874854,0.00119716
970,0.873874,0.00130445
975,0.873222,0.00119493
980,0.872027,0.00130169
985,0.870833,0.00119166
990,0.8704,0.00129927
995,0.870508,0.00119122
1000,0.870292,0.00140728
1005,0.869642,0.0015143
1010,0.86856,0.00151242
1015,0.867695,0.00140308
1020,0.868128,0.00140378
1025,0.869317,0.00129765
1030,0.870508,0.00140763
1035,0.871484,0.00130088
1040,0.87181,0.00130137
1045,0.871376,0.00130072
1050,0.870183,0.00129894
1055,0.86856,0.00129652
1060,0.866616,0.00140133
1065,0.864676,0.00150565
1070,0.863493,0.00150359
1075,0.862741,0.00139507
1080,0.862311,0.00150154
1085,0.861989,0.00139385
1090,0.861667,0.00139333
1095,0.861346,0.00128575
1100,0.861239,0.00139264
1105,0.861346,0.00139281
1110,0.861882,0.00150079
1115,0.862204,0.00150135
1120,0.862097,0.00150116
1125,0.861775,0.0013935
1130,0.861667,0.00150042
1135,0.861775,0.0015006
1140,0.861882,0.00139368
1145,0.861775,0.00128639
1150,0.861131,0.00128543
1155,0.860703,0.0011778
1160,0.861989,0.00117956
1165,0.863493,0.00118162
1170,0.862848,0.00128799
1175,0.860488,0.0011775
1180,0.857174,0.00127952
1185,0.853873,0.00116845
1190,0.85228,0.00116627
1195,0.851961,0.00105992
1200,0.852386,0.00116642
1205,0.853554,0.00116802
1210,0.855149,0.0012765
1215,0.856641,0.00117224
1220,0.856534,0.00127857
